shapeid,partid,x,y
"0","0",-80.9480951,35.2059353
"0","0",-80.9481463,35.2059094
"0","0",-80.9482243,35.2058776
"0","0",-80.9482719,35.2058596
"0","0",-80.9483292,35.2058487
"0","0",-80.9483999,35.2058417
"0","0",-80.9486632,35.2058158
"0","0",-80.9487839,35.2057919
"0","0",-80.9488278,35.2057809
"0","0",-80.9488754,35.20577
"0","0",-80.9489168,35.20575
"0","0",-80.9489534,35.2057182
"0","0",-80.9489754,35.2056903
"0","0",-80.9489985,35.2056564
"0","0",-80.9490119,35.2056225
"0","0",-80.9490168,35.2055757
"0","0",-80.9490192,35.2055149
"0","0",-80.949001,35.2049352
"0","0",-80.9488827,35.2033921
"0","0",-80.9488071,35.2025453
"0","0",-80.9486498,35.2007371
"0","0",-80.9486474,35.2006186
"0","0",-80.9486498,35.2005608
"0","0",-80.9486632,35.200489
"0","0",-80.9486828,35.2004412
"0","0",-80.9487145,35.2003824
"0","0",-80.9487644,35.2003197
"0","0",-80.9488303,35.20024
"0","0",-80.9489242,35.2001673
"0","0",-80.9490278,35.2001075
"0","0",-80.949118,35.2000766
"0","0",-80.9492533,35.2000597
"0","0",-80.9505579,35.199968
"0","0",-80.9490153050167,35.1850960750338
"0","0",-80.9498301057628,35.1850960750338
"0","0",-80.9515661,35.2058855
"0","0",-80.9517476617226,35.2068296300161
"0","0",-80.9636109456107,35.1987619791905
"0","0",-80.9636468771519,35.1992650207679
"0","0",-80.9649229,35.2005473
"0","0",-80.9636817184456,35.1859108757798
"0","0",-80.9644965191917,35.1857298089474
"0","0",-80.9656715,35.2005812
"0","0",-80.9659202,35.20355
"0","0",-80.9661055,35.2055722
"0","0",-80.9662099,35.2068152
"0","0",-80.966442,35.2095768
"0","0",-80.9665127,35.2103856
"0","0",-80.9666615,35.212099
"0","0",-80.9668444,35.2143123
"0","0",-80.9669882,35.216147
"0","0",-80.9670931,35.2173383
"0","0",-80.967254,35.2192068
"0","0",-80.9673393,35.2202268
"0","0",-80.9675661,35.2227884
"0","0",-80.9677612,35.224862
"0","0",-80.9678002,35.2252405
"0","0",-80.9691137234193,35.2398687918517
"0","0",-80.968208389257,35.2401403921004
"0","0",-80.9670492,35.2254138
"0","0",-80.9659958,35.2254676
"0","0",-80.9658202,35.2254715
"0","0",-80.9656788,35.2254516
"0","0",-80.9655593,35.2254237
"0","0",-80.9654472,35.225368
"0","0",-80.9653301,35.2252823
"0","0",-80.9652594,35.2252046
"0","0",-80.9651838,35.2250991
"0","0",-80.9651497,35.2249716
"0","0",-80.9650009,35.223392
"0","0",-80.9648595,35.2217267
"0","0",-80.9647864,35.2211809
"0","0",-80.9646937,35.2208104
"0","0",-80.9646693,35.2207427
"0","0",-80.9646254,35.2206969
"0","0",-80.9645645,35.220667
"0","0",-80.9644621,35.220651
"0","0",-80.9640183,35.2206431
"0","0",-80.9640183,35.2207088
"0","0",-80.9635574,35.2207347
"0","0",-80.9635501,35.2206451
"0","0",-80.9622456,35.2207108
"0","0",-80.9606997,35.2208024
"0","0",-80.9602471,35.2208291
"0","0",-80.960018,35.2208426
"0","0",-80.9588026,35.220912
"0","0",-80.9534979,35.2212128
"0","0",-80.9533077,35.2212228
"0","0",-80.9532517,35.2212367
"0","0",-80.9531907,35.2212566
"0","0",-80.953137,35.2212905
"0","0",-80.9530932,35.2213263
"0","0",-80.953059,35.2213602
"0","0",-80.9530322,35.2213921
"0","0",-80.9530054,35.2215295
"0","0",-80.9529127,35.2215395
"0","0",-80.9548094436553,35.2421321272574
"0","0",-80.9539946429093,35.2422226606737
"0","0",-80.9529103,35.2274634
"0","0",-80.9519374,35.2275092
"0","0",-80.9516643,35.2275152
"0","0",-80.9515155,35.2275112
"0","0",-80.9514058,35.2274933
"0","0",-80.951318,35.2274694
"0","0",-80.9512351,35.2274295
"0","0",-80.9511059,35.2273479
"0","0",-80.9510279,35.2272702
"0","0",-80.9509766,35.2272025
"0","0",-80.9509474,35.2271387
"0","0",-80.9509254,35.2270531
"0","0",-80.9508084,35.2258639
"0","0",-80.9507157,35.2247505
"0","0",-80.9505377,35.2228562
"0","0",-80.9504061,35.221645
"0","0",-80.9503866,35.2215415
"0","0",-80.9503622,35.2214976
"0","0",-80.9503232,35.2214638
"0","0",-80.9502695,35.2214339
"0","0",-80.9502012,35.221416
"0","0",-80.9501205,35.2214164
"0","0",-80.9494502,35.22142
"0","0",-80.9486358,35.2214658
"0","0",-80.9465486,35.2215793
"0","0",-80.94649,35.2208263
"0","0",-80.946462,35.2208283
"0","0",-80.9464474,35.2207088
"0","0",-80.9461767,35.2207248
"0","0",-80.9461731,35.2207078
"0","0",-80.9461913,35.2207058
"0","0",-80.9461621,35.2203801
"0","0",-80.9466107,35.2203552
"0","0",-80.9466168,35.2203801
"0","0",-80.9466461,35.2203811
"0","0",-80.9466522,35.220422
"0","0",-80.9466827,35.220424
"0","0",-80.9466863,35.2204538
"0","0",-80.9467729,35.2204449
"0","0",-80.9467729,35.220415
"0","0",-80.9469631,35.220403
"0","0",-80.9469667,35.2204329
"0","0",-80.947035,35.2204279
"0","0",-80.9470338,35.2203981
"0","0",-80.9471923,35.2203921
"0","0",-80.9471972,35.22042
"0","0",-80.9472654,35.220416
"0","0",-80.9472691,35.2203871
"0","0",-80.9477507,35.2203552
"0","0",-80.9477531,35.2203881
"0","0",-80.9479471,35.2203758
"0","0",-80.9481506,35.2203632
"0","0",-80.9481494,35.2203941
"0","0",-80.9482294,35.2203917
"0","0",-80.948231,35.2203612
"0","0",-80.9485358,35.2203393
"0","0",-80.9485284,35.2202337
"0","0",-80.94857,35.2202307
"0","0",-80.9485651,35.2201411
"0","0",-80.9485225,35.2201405
"0","0",-80.9485176,35.2200813
"0","0",-80.9483226,35.2200977
"0","0",-80.9483237,35.2200624
"0","0",-80.948231,35.2200664
"0","0",-80.948231,35.2201032
"0","0",-80.9480633,35.2201167
"0","0",-80.9480591,35.2200754
